380, 50.53191489361702, 7520
0, -0.026348003380056533, 0.0017135947995979958, 0.028119644434169734
20000, -0.02611689820322293, -0.004267755522010861, 0.023802366406659194
40000, -0.0267048974523772, -0.0032385872638521014, 0.018051427578899805
60000, -0.028190657932455464, 0.006635345007889188, 0.0030197315929144652
80000, -0.028229121267926406, 0.02578289817260085, -0.011474955407555562
100000, -0.025132023064265156, 0.035469692366635094, -0.019433520099688916
120000, -0.01625809233641344, 0.02467155359691535, -0.021383503209659285
140000, -0.009095389625071846, 0.004954272088244959, -0.0246824944978737
160000, -0.036768029974958906, 0.000638526897644224, -0.041649492045442715
180000, -0.09286395088117955, 0.017050380961181267, -0.07652197278490062
200000, -0.12952345202648655, 0.033878444326969764, -0.10274952172666806
220000, -0.1336726215983742, 0.009380242090705777, -0.09952737499010689
240000, -0.12620953460057563, -0.0639079505411666, -0.07081365175150121
260000, -0.12721634144068927, -0.1446817173847047, -0.03382017368556642
280000, -0.13955771185645793, -0.20425064279537758, -0.005602845351676647
300000, -0.14983044541237855, -0.21866205239017278, -0.0001485810990166658
320000, -0.15506498702008384, -0.1952358655874025, 0.0024208895300529255
340000, -0.16340592692827952, -0.16742575689845637, 0.008579209764651013
360000, -0.16318313683311783, -0.15594524292029363, 0.015972058161720704
380000, -0.1464274116783675, -0.15725156760845205, 0.02125700356227165
400000, -0.1275169553219147, -0.16276055591666858, 0.020109911670932738
420000, -0.1083135894144239, -0.16967297729454467, 0.018912882019613702
440000, -0.09467771570452607, -0.16754446714398397, 0.016111582735904417
460000, -0.08627199710780623, -0.1536441115080693, 0.009402109489344695
480000, -0.07009129485394112, -0.13294871575730824, 0.0014238847812990166
500000, -0.044496048753163965, -0.12215922277769961, -0.004434955745102258
520000, -0.018298016437091006, -0.12577469473745576, -0.007593856520410014
540000, -0.00171091333464957, -0.12069514905948593, -0.009130339110417302
560000, -0.0009418307543326624, -0.09563127775007862, -0.013521088532630265
580000, -0.003147482910201277, -0.0790313087032857, -0.01618552246930674
600000, -0.005679686084587303, -0.07275693361675387, -0.015124042721543496
620000, -0.014532119582510357, -0.07286333648956814, -0.011869764969880976
640000, -0.026511941034619346, -0.0797245907630055, -0.007678787916171241
660000, -0.03453421573644976, -0.09059151282234647, -0.005156568164991959
680000, -0.03658606135488408, -0.0970607013493258, -0.004212708634094586
700000, -0.037178821802426106, -0.09160861835716927, -0.0034291835858395107
720000, -0.03969320596572775, -0.07826309781117792, -0.0019282538555170357
740000, -0.04351079928124701, -0.06010785492368728, -0.0010738442002713707
760000, -0.0433578207083339, -0.038827385280879076, -0.002638620658486872
780000, -0.03912365885586742, -0.020702619287685086, -0.006555056544698139
800000, -0.03521572971707496, -0.012401663227167152, -0.010892604622982837
820000, -0.028516961191568237, -0.018487743310323736, -0.01219003883827316
840000, -0.019128675554524292, -0.02654897683868032, -0.012199725300686973
860000, -0.01648789274147659, -0.022350760732597615, -0.015870570704163922
880000, -0.027209830359195275, -0.006314603452285222, -0.024393189536957384
900000, -0.04728267017960545, 0.005033491743590159, -0.035044634904733966
920000, -0.062093811051347335, 0.002607267207386618, -0.041915875281866896
940000, -0.06152164369633577, -0.010199386572852865, -0.04164316832881151
960000, -0.047371101467697, -0.03150016198821549, -0.035648851528508815
980000, -0.029938883467652663, -0.05240482018260635, -0.029688076183015742
1000000, -0.025627553133892374, -0.05093418420315141, -0.02957479276932359
1020000, -0.031220533491043607, -0.023018885616660757, -0.03523448431870407
1040000, -0.039132101329225344, 0.014130796088904208, -0.04240512322775952
1060000, -0.0470110917983461, 0.033596406978215906, -0.04653078441084592
1080000, -0.05275629782912195, 0.01819145560624564, -0.04664676839523153
1100000, -0.05717571177088301, -0.017349354622956108, -0.04707758632040936
1120000, -0.06052858828734158, -0.05283466736997368, -0.04415915954404136
1140000, -0.06815815296008182, -0.0790312777345332, -0.03495720843041883
